address,comments_num,five,four,name,one,price,three,two
长宁路1018号龙之梦购物中心蓝中庭6层6079-6081A,7412,5827,1342,王妃家(中山公园龙之梦店),23,132,192,28
复兴中路59号(吉安路东台路间),7415,1846,2945,大肠面,191,27,1369,228
西藏中路180号高盛商厦5楼(近福州路),7433,4339,2267,九久日本料理(人民广场店),142,335,553,132
万航渡路107号(北京西路口),7438,4276,2100,牛很鲜潮汕牛肉火锅,210,121,688,164
真华路950号1楼(近大华二路),7443,5327,1488,四川香天下火锅(大华店),148,125,387,93
陆家嘴西路168号正大广场7层,7444,3789,2422,旺池(正大广场店),165,89,896,172
大渡河路178号长风大悦城3层,7453,3989,2371,星怡会(长风大悦城店),175,105,753,165
一二八纪念路988弄万达广场4层(近共和新路),7466,4051,1730,汉拿山(万达广场宝山店),360,137,990,335
金汇路463弄28号D栋M室(金石广场),7498,4204,1996,银子日本料理铁板烧(龙柏店),232,176,838,228
淞沪路8号百联又一城购物中心6层,7498,3332,2671,江边城外烤全鱼(百联又一城购物中心店),310,88,957,228
淞沪路151号中环国际大厦1楼(政通路交汇处),7521,5128,1184,赤坂亭炭火烧肉+铁板烧日本料理(五角场店),361,256,596,252
莘庄都市路5001号百盛购物中心4层,7547,4395,2272,星怡会(百盛莘庄店),154,103,603,123
国和路709号中原城市广场1座3层1301铺,7577,6629,780,捞王锅物料理(中原城市广场店),30,130,122,16
大华路352号大华虎城一层105-107铺,7604,3721,2227,山丘小聚,279,89,1101,276
四川北路1318号盛邦国际大厦3楼(近武进路),7608,5452,1723,捞王锅物料理(四川北路店),55,134,332,46
肇嘉浜路883号(宛平路口),7613,1056,1823,三顾牛炉,293,58,1606,392
西藏中路268号来福士广场B1楼,7639,728,1745,面包新语,70,24,669,77
世纪大道8号上海国金中心D座L3楼L3-9室(陆家嘴环路银城中路),7669,2250,3430,正斗粥面专家(国金中心店),196,114,1497,296
广西南路8号(延安东路),7670,3101,2784,哈灵面馆(广西南路店),239,34,1275,270
西藏中路525号雅居乐国际广场2层(近凤阳路),7673,3071,2954,7017食库(雅居乐国际广场店),192,82,1210,246
世博大道1200号梅赛德斯奔驰文化中心6F(地铁8号线中华艺术宫站),7691,5265,1697,望湘园(世博店),123,92,494,111
万航渡路889号悦达889广场4-5层,7705,4333,2249,唐宫海鲜舫(悦达889广场店),229,148,704,190
打浦路603号农工商超市内(近中山南一路),7714,4946,1958,辣府(打浦店),173,163,522,115
长寿路155号巴黎春天6层,7748,5369,1341,掌柜的店纯朴中原菜(巴黎春天店),175,77,698,165
